id,created_at,kind,case_type,severity,status,pickup_zone_id,pickup_name,pickup_ref,pickup_lat,pickup_lng,hospital_id,assigned_vehicle_id,assigned_driver_id,distance_km,eta_to_pickup_min,eta_min,patients_count,event_tag,source,synthetic
SIM-003003,2026-03-19T04:16:41.493Z,medical,General,Urgent,COMPLETED,zone-kadma,Annapurna Community Mess,loc-annapurna-community-mess,22.7948,86.1725,hosp-subarnarekha-super-speciality-,sim-veh-kadma-amb-4,sim-drv-kadma-4,1.03,1.7,2.1,1,,SIM_SEED,True
SIM-009511,2026-03-19T16:33:35.174Z,medical,Trauma,Critical,COMPLETED,zone-sonari,Sonari Quarters,loc-sonari,22.7933,86.1734,hosp-sakchi-community-hospital,sim-veh-sonari-amb-1,sim-drv-sonari-1,4.63,10.4,6,1,,SIM_SEED,True
SIM-001209,2023-06-20T12:38:54.863Z,medical,Cardiac,Critical,COMPLETED,zone-sakchi,Sakchi Quarters,loc-sakchi,22.8045,86.2057,hosp-tata-steel-advanced-multi-spec,sim-veh-sakchi-amb-5,sim-drv-sakchi-5,2.56,0.6,4.7,1,,SIM_SEED,True
SIM-006130,2023-07-26T18:20:38.930Z,medical,Trauma,Critical,COMPLETED,zone-sakchi,Hotel Sonnet,loc-sonnet,22.799,86.1986,hosp-foundry-area-medical-centre,sim-veh-sakchi-amb-2,sim-drv-sakchi-2,4.02,9.7,6.4,1,,SIM_SEED,True
SIM-010623,2023-08-24T21:31:55.056Z,blood,,Normal,COMPLETED,zone-sonari,Sonari Aerodrome,loc-aerodrome,22.7841,86.1616,,sim-veh-sonari-amb-2,sim-drv-sonari-2,1.75,4,3.3,1,,SIM_SEED,True
SIM-009471,2024-09-16T09:02:05.302Z,medical,Cardiac,Critical,COMPLETED,zone-factory,Burma Mines,loc-burma,22.7741,86.212,hosp-subarnarekha-super-speciality-,sim-veh-factory-amb-4,sim-drv-factory-4,5.62,16.2,7.8,1,,SIM_SEED,True
SIM-009946,2025-08-01T00:06:19.471Z,medical,Trauma,Urgent,COMPLETED,zone-sonari,Subarnarekha Riverside Quarters,loc-subarnarekha-riverside-quarters,22.78,86.1563,hosp-subarnarekha-super-speciality-,sim-veh-sonari-amb-3,sim-drv-sonari-3,2.82,6.5,2.8,1,,SIM_SEED,True
SIM-010290,2024-05-22T01:21:08.683Z,blood,,Normal,COMPLETED,zone-factory,Blue Furnace Township Residency,loc-blue-furnace-township-residency,22.7799,86.2196,,sim-veh-factory-amb-4,sim-drv-factory-4,4.22,8.5,7.6,1,,SIM_SEED,True
SIM-008127,2023-12-04T00:20:16.417Z,medical,Pediatric,Urgent,COMPLETED,zone-kadma,Kadma Quarters,loc-kadma,22.8023,86.1825,hosp-subarnarekha-super-speciality-,sim-veh-kadma-amb-1,sim-drv-kadma-1,2.86,5.6,2.9,1,,SIM_SEED,True
SIM-010923,2023-03-09T11:12:18.333Z,fire,,Normal,COMPLETED,zone-factory,Blue Furnace Township Residency,loc-blue-furnace-township-residency,22.7708,86.2077,,sim-veh-factory-fire-1,sim-drv-factory-1,0.4,0.7,0.4,1,,SIM_SEED,True
